,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property
1750,15/02/2022,"58 ENNELL COURT, BALLYBRACK, DUBLIN",,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment
1751,15/02/2022,"63 SWILLY ROAD, CABRA, DUBLIN 7",Dublin 7,Dublin,"€372,000.00",No,No,Second-Hand Dwelling house /Apartment
1752,15/02/2022,"64 KNOCKAIRE, KNOCKLYON RD, DUBLIN 16",Dublin 16,Dublin,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment
1753,15/02/2022,"7 MILLERS SQ, LUSK VILLAGE, DUBLIN",,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment
1754,15/02/2022,"7 WALTERSLAND RD, STILLORGAN, DUBLIN",,Dublin,"€715,000.00",No,No,Second-Hand Dwelling house /Apartment
1755,15/02/2022,"APT 68, 25 WOLFE TONE ST, DUBLIN 1",Dublin 1,Dublin,"€341,000.00",No,No,Second-Hand Dwelling house /Apartment
1756,15/02/2022,"GREEN TREES, EATON BRAE, SHANKILL",Dublin 18,Dublin,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment
1757,15/02/2022,"SADDELIERS FIELD, CASTLEKNOCK RD, DUBLIN 15",Dublin 15,Dublin,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment
1758,15/02/2022,"WILTON, 16 SHREWSBURY RD, BALLSBRIDGE DUBLIN 4",Dublin 4,Dublin,"€6,250,000.00",No,No,Second-Hand Dwelling house /Apartment
1759,16/02/2022,"1 CHURCHVIEW PARK, KILLINEY, DUBLIN",,Dublin,"€790,000.00",No,No,Second-Hand Dwelling house /Apartment
1760,16/02/2022,"1 LIBRARY CRESCENT, SHANKILL, DUBLIN 18",,Dublin,"€651,983.00",No,Yes,New Dwelling house /Apartment
1761,16/02/2022,"10 BEECHPARK ORCHARD, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€180,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1762,16/02/2022,"100 ST MAELRUANS PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€352,000.00",No,No,Second-Hand Dwelling house /Apartment
1763,16/02/2022,"11 CASTLE PARK, MONKSTOWN, DUBLIN",,Dublin,"€920,000.00",No,No,Second-Hand Dwelling house /Apartment
1764,16/02/2022,"11 IDRONE PARK, TEMPLEOGUE, DUBLIN 14",Dublin 16,Dublin,"€55,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1765,16/02/2022,"110 MILLTOWN HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin 6,Dublin,"€617,000.00",No,No,Second-Hand Dwelling house /Apartment
1766,16/02/2022,"12 CLONRATH AVENUE, SKERRIES ROAD, LUSK",,Dublin,"€352,378.00",No,Yes,New Dwelling house /Apartment
1767,16/02/2022,"13 ANNAGH COURT, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment
1768,16/02/2022,"13 KILBARRON PARK, COOLOCK, DUBLIN 5",,Dublin,"€171,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1769,16/02/2022,"13 THE PADDOCKS CRESCENT, ADAMSTOWN, DUBLIN",,Dublin,"€412,000.00",No,No,Second-Hand Dwelling house /Apartment
1770,16/02/2022,"15 EGLINTON WOOD, EGLINTON RD, DONNYBROOK DUBLIN 4",Dublin 4,Dublin,"€469,000.00",No,No,Second-Hand Dwelling house /Apartment
1771,16/02/2022,"15 OROURKE PARK, SALLYNOGGIN, DUN LAOGHAIRE",,Dublin,"€399,950.00",No,No,Second-Hand Dwelling house /Apartment
1772,16/02/2022,"153 MOYVILLE, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment
1773,16/02/2022,"157 CUSTOM HALL, LOWER GARDINER STREET, DUBLIN 1",,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment
1774,16/02/2022,"16 Parkland Terrace, Parklands, Citywest",,Dublin,"€352,423.00",No,Yes,New Dwelling house /Apartment
1775,16/02/2022,"16 RIVERVALE, ASHTOWN, DUBLIN 15",Dublin 15,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment
1776,16/02/2022,"17 RAILWAY MEWS, CLONGRIFFIN, DUBLIN 13",Dublin 13,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment
1777,16/02/2022,"196 PALMERSTOWN WOODS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€331,000.00",No,No,Second-Hand Dwelling house /Apartment
1778,16/02/2022,"2 LA BAS MEWS, EFFRA ROAD, RATHMINES",Dublin 6,Dublin,"€795,000.00",No,No,Second-Hand Dwelling house /Apartment
1779,16/02/2022,"20 DONNYBROOK COURT, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,"€477,500.00",No,No,Second-Hand Dwelling house /Apartment
1780,16/02/2022,"21 HAMPTON COURT, TYRCONNELL RD, INCHICORE DUBLIN 8",Dublin 8,Dublin,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment
1781,16/02/2022,"217 COOLEY ROAD, DRIMNAGH, DUBLIN 12",,Dublin,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment
1782,16/02/2022,"22 DUNARD DR, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment
1783,16/02/2022,"22 THE SQUARE, LARCH HILL, SANTRY DUBLIN 17",Dublin 17,Dublin,"€252,000.00",No,No,Second-Hand Dwelling house /Apartment
1784,16/02/2022,"24 FINSBURY GREEN, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,"€680,000.00",No,No,Second-Hand Dwelling house /Apartment
1785,16/02/2022,"245 NAVAN RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€680,000.00",No,No,Second-Hand Dwelling house /Apartment
1786,16/02/2022,"28 DARTMOUTH SQUARE, LEESON PARK, DUBLIN 6",Dublin 6,Dublin,"€2,050,000.00",No,No,Second-Hand Dwelling house /Apartment
1787,16/02/2022,"28 MERRION ST UPPER, DUBLIN 2",Dublin 2,Dublin,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment
1788,16/02/2022,"3 ASH GROVE, LUSK, DUBLIN",,Dublin,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment
1789,16/02/2022,"3 STRAND HOUSE, 171 STRAND ROAD, SANDYMOUNT",Dublin 4,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment
1790,16/02/2022,"3 WYATTVILLE ROAD, BALLYBRACK, CO DUBLIN",,Dublin,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1791,16/02/2022,"38 GARRISON MEWS, OLD BRAY RD, CABINTEELY",Dublin 18,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment
1792,16/02/2022,"39 THE CRESCENT, ONGAR VILLAGE, ONGAR",Dublin 15,Dublin,"€293,500.00",No,No,Second-Hand Dwelling house /Apartment
1793,16/02/2022,"4 TARA COURT, BALBRIGGAN, DUBLIN",,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment
1794,16/02/2022,"40 INVER RD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment
1795,16/02/2022,"411 SWIFTWOOD, GARTERS LANE, SAGGART",Dublin 24,Dublin,"€217,500.00",No,No,Second-Hand Dwelling house /Apartment
1796,16/02/2022,"43 OLD BAWN AVE, OLDBAWN, DUBLIN 24",Dublin 24,Dublin,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment
1797,16/02/2022,"5 SULLIVAN ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment
1798,16/02/2022,"54 SHACKLETON HOUSE, ARCHERSWOOD, DUBLIN 15",Dublin 15,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment
1799,16/02/2022,"55 CALEDON RD, WALL RD EAST, DUBLIN 3",Dublin 3,Dublin,"€293,000.00",No,No,Second-Hand Dwelling house /Apartment
1800,16/02/2022,"58 CASTLECURRAGH HEATH, MULHUDDART, DUBLIN 15",Dublin 15,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment
1801,16/02/2022,"58 STILLORGAN HEATH, STILLORGAN, DUBLIN",,Dublin,"€685,000.00",No,No,Second-Hand Dwelling house /Apartment
1802,16/02/2022,"59 MOUNT BELLEW CRESCENT, LUCAN, DUBLIN",,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment
1803,16/02/2022,"6 Fairfield Court, Fairfield Road, Glasnevin",Dublin 9,Dublin,"€704,845.81",No,Yes,New Dwelling house /Apartment
1804,16/02/2022,"66 CROMWELLS FORT RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€570,000.00",No,No,Second-Hand Dwelling house /Apartment
1805,16/02/2022,"7 CAMAC VIEW, KILMAINHAM LANE, DUBLIN 8",Dublin 8,Dublin,"€445,000.00",No,No,Second-Hand Dwelling house /Apartment
1806,16/02/2022,"71 KINVARA RD, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment
1807,16/02/2022,"72 BROOKLAWN, STRANDVILLE AVE EAST, CLONTARF",Dublin 3,Dublin,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment
1808,16/02/2022,"73 AILESBURY RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€11,700,000.00",No,No,Second-Hand Dwelling house /Apartment
1809,16/02/2022,"75 CALEDON RD, EAST WALL DUBLIN 3, DUBLIN",Dublin 3,Dublin,"€341,000.00",No,No,Second-Hand Dwelling house /Apartment
1810,16/02/2022,"76 BELGROVE MOUNT PROSPECT LAWN, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment
1811,16/02/2022,"8 OWENSTOWN PARK, OFF FOSTER AVE MOUNT MERRION, BLACKROCK",,Dublin,"€990,000.00",No,No,Second-Hand Dwelling house /Apartment
1812,16/02/2022,"82 UPPER RATHMINES RD, DUBLIN 6, DUBLIN",Dublin 6,Dublin,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment
1813,16/02/2022,"9 KNOCKMEENAGH RD, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment
1814,16/02/2022,"96 Ardilea Crescent, Heidelberg, Ardilea",Dublin 14,Dublin,"€568,282.00",No,Yes,New Dwelling house /Apartment
1815,16/02/2022,"98 THORNFIELD SQUARE, WATERY LANE, CLONDALKIN",,Dublin,"€202,000.00",No,No,Second-Hand Dwelling house /Apartment
1816,16/02/2022,"APARTMENT 311, SWIFTWOOD DEVELOPMENT, SAGGART",,Dublin,"€217,500.00",No,No,Second-Hand Dwelling house /Apartment
1817,16/02/2022,"APT 21, WINDMILL LODGE, WINDMILL LANE DUBLIN 12",Dublin 12,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment
1818,16/02/2022,"APT 26 WHITESTOWN WALK, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment
1819,16/02/2022,"APT 8, 34 USHERS QUAY, DUBLIN CITY",Dublin 8,Dublin,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment
1820,16/02/2022,"TABLICK, LEHAUNSTOWN LANE, CABINTEELY DUBLIN 18",Dublin 18,Dublin,"€2,800,000.00",No,No,Second-Hand Dwelling house /Apartment
1821,16/02/2022,"TOP APT 24 RANALAGH RD, DUBLIN 6, DUBLIN",Dublin 6,Dublin,"€1,180,000.00",No,No,Second-Hand Dwelling house /Apartment
1822,17/02/2022,"1 DEAN COURT, PATRICK ST, DUBLIN 8",Dublin 8,Dublin,"€278,000.00",No,No,Second-Hand Dwelling house /Apartment
1823,17/02/2022,"1 LIFFEY HALL, LIFFEY VALLEY PARK, LUCAN",,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment
1824,17/02/2022,"10 HIBERNIA, DE VESCI COURT, THE SLOPES",,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment
1825,17/02/2022,"10 WESLEY RD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€675,000.00",No,No,Second-Hand Dwelling house /Apartment
1826,17/02/2022,"102 SANDYFORD DOWNS, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment
1827,17/02/2022,"108 HIGHGROVE, MOUNT TALBOT, MONASTERY RD DUBLIN 22",Dublin 22,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment
1828,17/02/2022,"111 CEDAR BROOK AVE, CHERRY ORCHARD, DUBLIN 10",Dublin 10,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment
1829,17/02/2022,"12 CHERRYWOOD VILLAS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment
1830,17/02/2022,"13 HILLTOWN PARK, RIVERVALLEY SWOARDS, DUBLIN",,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment
1831,17/02/2022,"131 CHERRY AVE, SWORDS, DUBLIN",,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment
1832,17/02/2022,"147 TIMBER MILLS, KILMORE RD, ARTANE DUBLIN 5",Dublin 5,Dublin,"€288,500.00",No,No,Second-Hand Dwelling house /Apartment
1833,17/02/2022,"15 PARKSIDE SQUARE, MALAHIDE ROAD",Dublin 13,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment
1834,17/02/2022,"15 SOUTHMEDE, BALLINTEER RD, DUNDRUM DUBLIN 16",Dublin 16,Dublin,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment
1835,17/02/2022,"16 BELGREE HEIGHTS, TYRELLSTOWN DUBLIN 15, DUBLIN",Dublin 15,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment
1836,17/02/2022,"16 MELLIFONT AVE, DUN LAOGHAIRE, DUBLIN",,Dublin,"€1,350,000.00",No,No,Second-Hand Dwelling house /Apartment
1837,17/02/2022,"16 MELLIFONT AVE, DUN LAOGHAIRE, DUBLIN",,Dublin,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment
1838,17/02/2022,"17 EARLSFIELD COURT, FRANCIS ST, DUBLIN 1",Dublin 8,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment
1839,17/02/2022,"17 ST COLUMBAS RISE SWORDS, DUBLIN",,Dublin,"€45,370.03",Yes,No,Second-Hand Dwelling house /Apartment
1840,17/02/2022,"17A MCAULEY DR, ARTANE, DUBLIN 17",Dublin 5,Dublin,"€337,000.00",No,No,Second-Hand Dwelling house /Apartment
1841,17/02/2022,"18 BERRYFIELD, FINNSTOWN PRIORY, LUCAN",,Dublin,"€427,000.00",No,No,Second-Hand Dwelling house /Apartment
1842,17/02/2022,"22 COILL DUBH AVENUE, COILL DUBH, MALAHIDE",,Dublin,"€745,000.00",No,No,Second-Hand Dwelling house /Apartment
1843,17/02/2022,"225 CUBE 7 BLOCK 1, BEACON SOUTH QUATER, SANDYFORD DUBLIN 18",Dublin 18,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment
1844,17/02/2022,"238 BACHELORS WALK, DUBLIN 1",Dublin 1,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment
1845,17/02/2022,"24 ASHGROVE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€310,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1846,17/02/2022,"24 GLENARM SQUARE, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€339,000.00",No,No,Second-Hand Dwelling house /Apartment
1847,17/02/2022,"25 LR ST BRIGIDS RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€695,000.00",No,No,Second-Hand Dwelling house /Apartment
1848,17/02/2022,"25 SCHOLARSTOWN PARK, SCHOLARSTOWN RD, RATHFARNHAM DUBLIN 14",Dublin 16,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment
1849,17/02/2022,"26 LAWLESS TERRACE, BALBRIGGAN, DUBLIN",,Dublin,"€307,000.00",No,No,Second-Hand Dwelling house /Apartment
1850,17/02/2022,"26 MILLBROOK VILLAGE, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment
1851,17/02/2022,"26 WALNUT RISE, COURTLANDS, GRIFFITH AVE DUBLIN 9",Dublin 9,Dublin,"€725,000.00",No,No,Second-Hand Dwelling house /Apartment
1852,17/02/2022,"27 PARK ROAD, GLENAGEARY HEIGHTS, DUN LAOGHAIRE",,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment
1853,17/02/2022,"27A GREENMOUNT LAWNS, TERENURE, DUBLIN 6",Dublin 6,Dublin,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment
1854,17/02/2022,"28 CASTLEDAWSON, ROCK RD, SION HILL",,Dublin,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment
1855,17/02/2022,"28 LANDYS COURT, MILL ST, BALBRIGGAN",,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment
1856,17/02/2022,"29 VERSCHOYLE PARK, SAGGART, DUBLIN",Dublin 24,Dublin,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment
1857,17/02/2022,"31 THORMANBY LAWNS, HOWTH, DUBLIN",Dublin 13,Dublin,"€860,000.00",No,No,Second-Hand Dwelling house /Apartment
1858,17/02/2022,"34 UPPER DRUMCONDRA ROAD, DUBLIN 9",,Dublin,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment
1859,17/02/2022,"36 WEST PRIORY, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment
1860,17/02/2022,"37 ALL SAINTS RD, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€622,500.00",No,No,Second-Hand Dwelling house /Apartment
1861,17/02/2022,"39 ROEBUCK HILL, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment
1862,17/02/2022,"4 CRAIGLANDS, ARDEEVIN ROAD, DALKEY",,Dublin,"€545,000.00",No,No,Second-Hand Dwelling house /Apartment
1863,17/02/2022,"4 KILCARRIG CLOSE FETTERCAIRN, TALLAGHT DUBLIN 24, DUBLIN",Dublin 24,Dublin,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment
1864,17/02/2022,"41 ROCHFORT PARK, ROCHFORT DOWNS, LUCAN",,Dublin,"€456,000.00",No,No,Second-Hand Dwelling house /Apartment
1865,17/02/2022,"42 ST BEGNETS VILLAS, DALKEY, DUBLIN",,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment
1866,17/02/2022,"5 College Avenue, Belcamp, Malahide Road",,Dublin,"€481,938.33",No,Yes,New Dwelling house /Apartment
1867,17/02/2022,"5 RAVENSWOOD GREEN, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,"€411,000.00",No,No,Second-Hand Dwelling house /Apartment
1868,17/02/2022,"51 HAZELBURY GREEN, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment
1869,17/02/2022,"52 PARKSIDE GARDENS, PARKSIDE, BALGRIFFIN",Dublin 13,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment
1870,17/02/2022,"59 RATOATH EST, CABRA WEST, DUBLIN",Dublin 7,Dublin,"€400,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1871,17/02/2022,"59 WAINSFORT MANOR DR, TERENURE, DUBLIN 6W",,Dublin,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment
1872,17/02/2022,"6 SHACKLETON GRANGE, SHACKLETON PARK, LUCAN",,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment
1873,17/02/2022,"69 MARLFIELD GREEN, KILTIPPER, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€364,000.00",No,No,Second-Hand Dwelling house /Apartment
1874,17/02/2022,"7 Cul Cuille, Sandyford Village, Dublin 18",,Dublin,"€731,277.53",No,Yes,New Dwelling house /Apartment
1875,17/02/2022,"7 DEERHAVEN PARK, CLONEE, DUBLIN 15",Dublin 15,Dublin,"€256,000.00",No,No,Second-Hand Dwelling house /Apartment
1876,17/02/2022,"72 HAZEL AVE, KILMACUD, BLACKROCK",,Dublin,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment
1877,17/02/2022,"8 HAWTHORN MANOR, CARYSFORT AVE, BLACKROCK",,Dublin,"€858,000.00",No,No,Second-Hand Dwelling house /Apartment
1878,17/02/2022,"8 THE CHARTER, SANTRY CROSS, BALLYMUN DUBLIN 11",Dublin 11,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment
1879,17/02/2022,"88 GRANGE PARK VIEW, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€424,000.00",No,No,Second-Hand Dwelling house /Apartment
1880,17/02/2022,"APT 11 HILLCREST, 94 95 RATHGAR RD, RATHGAR DUBLIN 6",Dublin 6,Dublin,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment
1881,17/02/2022,"APT 14 BLOCK C, ROSEBANK COURT, CLONDALKIN",Dublin 22,Dublin,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment
1882,17/02/2022,"APT 21, HANOVER QUARTER, GRAND CANAL DOCK",Dublin 2,Dublin,"€745,000.00",No,No,Second-Hand Dwelling house /Apartment
1883,17/02/2022,"APT 6, 70 MAIN ST, CLONGRIFFIN DUBLIN 13",Dublin 13,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment
1884,17/02/2022,"BALDRUMMAN HOUSE, LUSK, DUBLIN",,Dublin,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment
1885,17/02/2022,"LOWER COMMONS, GARRISTOWN, CO.DUBLIN",,Dublin,"€615,000.00",No,No,Second-Hand Dwelling house /Apartment
1886,18/02/2022,"1 BERKELEY STREET, PHIBSBOROUGH, DUBLIN 7",,Dublin,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment
1887,18/02/2022,"1 BURGAGE COURT, STATION ROAD, LUSK",,Dublin,"€398,500.00",No,No,Second-Hand Dwelling house /Apartment
1888,18/02/2022,"1 RIVER RD, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment
1889,18/02/2022,"1 ST BRIGIDS CRESCENT, ARTANE, DUBLIN 5",Dublin 5,Dublin,"€507,500.00",No,No,Second-Hand Dwelling house /Apartment
1890,18/02/2022,"102 CARRIG COURT, FORTUNESTOWN LANE, DUBLIN",Dublin 24,Dublin,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment
1891,18/02/2022,"12 AUBURN DR, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€610,000.00",No,No,Second-Hand Dwelling house /Apartment
1892,18/02/2022,"12 DORNDEN PARK, BOOTERSTOWN, CO DUBLIN",,Dublin,"€1,280,000.00",No,No,Second-Hand Dwelling house /Apartment
1893,18/02/2022,"12 LONDONBRIDGE RD, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€1,320,000.00",No,No,Second-Hand Dwelling house /Apartment
1894,18/02/2022,"12 RIALTO ST, DUBLIN 8, DUBLIN",Dublin 8,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment
1895,18/02/2022,"121 LARKFIELD GROVE, HAROLDS CROSS, DUBLIN 6W",,Dublin,"€590,000.00",No,No,Second-Hand Dwelling house /Apartment
1896,18/02/2022,"129 WALKINSTOWN AVENUE, DUBLIN 12",Dublin 12,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment
1897,18/02/2022,"13 CALLARY RD, MOUNT MERRION, DUBLIN",,Dublin,"€500,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1898,18/02/2022,"13 HAZELWOOD DRIVE, ARTANE, DUBLIN 5",Dublin 5,Dublin,"€200,000.00",Yes,No,Second-Hand Dwelling house /Apartment
1899,18/02/2022,"131 CRUISE PARK DR, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment
1900,18/02/2022,"139 GRIANAN FIDH, AIKENS VILLAGE, SANDYFORD",Dublin 18,Dublin,"€555,000.00",No,No,Second-Hand Dwelling house /Apartment
1901,18/02/2022,"14 BELARMINE GROVE, BELARMINE WOODS, STEPASIDE",Dublin 18,Dublin,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment
1902,18/02/2022,"14 Clonrath Row, Skerries Road, Lusk",,Dublin,"€361,233.00",No,Yes,New Dwelling house /Apartment
1903,18/02/2022,"14 Hallwell Avenue, HALLWELL, Adamstown",,Dublin,"€339,207.05",No,Yes,New Dwelling house /Apartment
1904,18/02/2022,"14 SANDYFORD GREEN, SANDYFORD VILLAGE, DUBLIN 18",Dublin 18,Dublin,"€832,599.11",No,Yes,New Dwelling house /Apartment
1905,18/02/2022,"14 THE COURTYARD, CASTLESIDE DR, RATHFARNHAM DUBLIN 14",Dublin 14,Dublin,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment
1906,18/02/2022,"143 OLD FINGLAS ROAD, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment
1907,18/02/2022,"15 THE BELFRY, PARKVIEW, STEPASIDE",Dublin 18,Dublin,"€326,000.00",No,No,Second-Hand Dwelling house /Apartment
1908,18/02/2022,"16 CHERRYFIELD AVE LOWER, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€870,000.00",No,No,Second-Hand Dwelling house /Apartment
1909,18/02/2022,"17 MANOR COURT, CLONSILLA RD, COOLMINE DUBLIN 15",Dublin 15,Dublin,"€260,000.00",No,Yes,New Dwelling house /Apartment
1910,18/02/2022,"17 THE CONCERT BUILDING, PARK WEST POINTE, PARK WEST DUBLIN 12",Dublin 12,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment
1911,18/02/2022,"17 VERNON PARK, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€950,000.00",No,No,Second-Hand Dwelling house /Apartment
1912,18/02/2022,"18 GLENARM AVENUE, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€820,000.00",No,No,Second-Hand Dwelling house /Apartment
1913,18/02/2022,"2 CLEAR WATER COURT NORTH, ROYAL CANAL PARK, ASHTOWN",Dublin 15,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment
1914,18/02/2022,"2 Cul Cuille, Sandyford, Dublin 18",Dublin 18,Dublin,"€454,125.00",No,Yes,New Dwelling house /Apartment
1915,18/02/2022,"20 SARSFIELD ST, SALLYNOGGIN, DUN LAOGHAIRE",,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment
1916,18/02/2022,"21 ARBOUR HILL, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€696,000.00",No,No,Second-Hand Dwelling house /Apartment
1917,18/02/2022,"21 VAVASOUR SQ, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€1,015,000.00",No,No,Second-Hand Dwelling house /Apartment
1918,18/02/2022,"22 hallwell avenue, hallwell, adamstown",,Dublin,"€348,657.00",No,Yes,New Dwelling house /Apartment
